task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version,team_clean,task_type_clean,brief_quality_missing,delivered_at_estimated,sla_days_inferred,delivery_days_actual,hours_spent_low_corrected,billable_hours_estimated,billable_hours_negative_corrected,billable_hours_recalculated,created_month,ai_usage_imputed,rework_hours_corrected,rework_hours_imputed,outcome_score_imputed,revenue_per_hour_temp,cost_per_hour_temp,profit_check,profit_diff,profit_margin_valid,profit_margin,efficiency_ratio_valid,efficiency_ratio,rework_ratio_valid,rework_ratio,cost_per_hour_valid,cost_per_hour,revenue_per_hour_valid,revenue_per_hour,margin_per_hour,delivery_speed_valid,delivery_speed,ai_usage_bin,ai_usage_bin_encoded
T00016,Client_Z,P062,mid,SEO,dev,junior,2,2.0,high,0,hourly,2025-09-19,2025-09-23,7.0,0,23.01,14.64,0.5,True,4,0,2.9,46.04,745.07,1272.55,-527.4799999999999,user_113,2025-09-22,review,client_review,,true,v2,SEO,dev,0,0,0,4,0,0,0,0,2025-09,0,0,0,0,32.38026944806606,55.30421555845284,-527.4799999999999,0.0,1,-0.7079603258754209,1,0.636245110821382,1,0.12603215993046502,1,55.30421555845284,1,32.38026944806606,-22.92394611038678,1,0.5714285714285714,Medium-High (40-60%),3
T00017,Client_E,P023,high,Media,report,mid,2,2.0,high,0,hourly,2025-12-04,2025-12-10,5.0,1,30.92,21.01,0.25,True,1,0,2.89,70.305,2745.14,1439.98,1305.16,user_066,2025-12-04,review,briefing,JIRA-91601,true,v2,Media,report,0,0,0,6,0,0,0,0,2025-12,0,0,0,1,88.78201811125484,46.57115135834411,1305.1599999999999,2.2737367544323206e-13,1,0.4754438753579053,1,0.6794954721862873,1,0.09346701164294954,1,46.57115135834411,1,88.78201811125484,42.21086675291073,1,1.2,Low-Medium (20-40%),2
T00018,Client_D,P021,high,Content,report,senior,4,5.0,medium,0,fixed,2026-01-14,2026-01-20,3.0,1,7.75,4.5,0.0,False,4,1,0.69,79.16,1685.41,452.31,1233.1,user_007,2026-01-20,in_progress,qa,JIRA-30343,true,v3,Content,report,0,0,0,6,0,0,0,0,2026-01,0,0,0,0,217.47225806451613,58.36258064516129,1233.1000000000001,-2.2737367544323206e-13,1,0.7316320657881464,1,0.5806451612903226,1,0.08903225806451612,1,58.36258064516129,1,217.47225806451613,159.10967741935485,1,2.0,Low (0-20%),1
T00019,Client_H,P005,mid,Content,design,junior,2,4.0,high,0,value_based,2025-10-05,2025-10-08,10.0,0,6.37,4.82,0.25,True,4,1,1.54,78.58,1030.0,330.63,699.37,user_031,2025-10-06,blocked,execution,JIRA-42265,true,final,Content,design,0,0,0,3,0,0,0,0,2025-10,0,0,0,0,161.69544740973313,51.90423861852433,699.37,0.0,1,0.679,1,0.7566718995290425,1,0.24175824175824176,1,51.90423861852433,1,161.69544740973313,109.7912087912088,1,0.3,Low-Medium (20-40%),2
T00020,Client_F,P001,high,SEO,ticket,junior,2,5.0,medium,0,fixed,2025-10-24,2025-10-31,3.0,1,8.27,5.4,0.0,False,3,1,0.61,73.77,697.5,474.04,223.46,user_040,2025-10-28,draft,finalized,JIRA-80701,true,v1,SEO,ticket,0,0,0,7,0,0,0,0,2025-10,0,0,0,0,84.34099153567111,57.32043530834341,223.45999999999998,2.842170943040401e-14,1,0.32037275985663083,1,0.6529625151148731,1,0.07376058041112454,1,57.32043530834341,1,84.34099153567111,27.020556227327695,1,2.3333333333333335,Low (0-20%),1
T00021,Client_D,P031,high,SEO,ticket,junior,1,5.0,high,0,fixed,2026-04-11,2026-04-15,7.0,0,4.55,1.1,0.63,True,0,0,0.0,66.75,477.45,277.21,200.24,user_053,2026-04-11,in_progress,execution,,false,v2,SEO,ticket,0,0,0,4,0,0,0,0,2026-04,0,0,0,1,104.93406593406594,60.925274725274726,200.24,0.0,1,0.4193947010158132,1,0.2417582417582418,1,0.0,1,60.925274725274726,1,104.93406593406594,44.008791208791216,1,0.5714285714285714,High (60-80%),4
T00022,Client_D,P007,mid,Content,release,senior,2,4.0,medium,1,hourly,2026-01-11,2026-01-16,3.0,1,12.97,3.0,0.0,False,2,1,1.07,74.14,299.67,888.6,-588.9300000000001,user_105,2026-01-14,review,finalized,JIRA-86150,false,v2,Content,release,0,0,0,5,0,0,0,0,2026-01,0,0,0,0,23.104857363145722,68.51195065535852,-588.9300000000001,0.0,1,-1.9652617879667635,1,0.2313030069390902,1,0.08249807247494217,1,68.51195065535852,1,23.104857363145722,-45.40709329221279,1,1.6666666666666667,Low (0-20%),1
T00023,Client_B,P015,high,Design,ad,mid,2,1.0,low,0,value_based,2025-11-02,2025-11-06,7.0,0,5.76,4.79,0.88,True,2,0,2.05,62.63,1124.7,358.62,766.08,user_053,2025-11-05,delivered,briefing,JIRA-60009,false,v2,Design,ad,0,0,0,4,0,0,0,0,2025-11,0,0,0,0,195.26041666666669,62.26041666666667,766.08,0.0,1,0.681141637770072,1,0.8315972222222222,1,0.35590277777777773,1,62.26041666666667,1,195.26041666666669,133.0,1,0.5714285714285714,Very High (80-100%),5
T00024,Client_B,P060,mid,Content,article,mid,2,4.0,high,0,fixed,2025-07-08,2025-07-12,7.0,0,20.37,9.42,0.2,True,4,0,0.0,78.72,834.26,881.65,-47.38999999999999,user_117,2025-07-17,in_progress,briefing,JIRA-45937,true,v2,Content,article,0,0,0,4,0,0,0,0,2025-07,0,0,0,0,40.955326460481096,43.281786941580755,-47.389999999999986,-7.105427357601002e-15,1,-0.05680483302567544,1,0.4624447717231222,1,0.0,1,43.281786941580755,1,40.955326460481096,-2.3264604810996588,1,0.5714285714285714,Low-Medium (20-40%),2
T00025,Client_G,P002,low,Media,ticket,mid,3,3.0,medium,0,fixed,2026-05-17,2026-05-19,2.0,0,8.67,4.87,0.25,True,6,0,0.88,66.24,180.3,418.18,-237.88,user_056,2026-05-19,archived,client_review,,false,v1,Media,ticket,0,0,0,2,0,0,0,0,2026-05,0,0,0,0,20.795847750865054,48.23298731257209,-237.88,0.0,1,-1.3193566278424846,1,0.5617070357554786,1,0.10149942329873125,1,48.23298731257209,1,20.795847750865054,-27.43713956170704,1,1.0,Low-Medium (20-40%),2
T00026,Client_F,P032,high,Media,article,junior,4,5.0,high,0,fixed,2025-10-22,2025-10-24,5.0,0,8.72,6.27,0.61,True,8,2,1.38,65.8,1647.17,317.81,1329.36,user_089,2025-10-26,delivered,finalized,JIRA-96760,true,v1,Media,article,0,0,0,2,0,0,0,0,2025-10,0,0,0,0,188.89564220183485,36.44610091743119,1329.3600000000001,-2.2737367544323206e-13,1,0.8070569522271531,1,0.7190366972477064,1,0.15825688073394492,1,36.44610091743119,1,188.89564220183485,152.44954128440367,1,0.4,High (60-80%),4
T00027,Client_H,P046,mid,seo,ticket,mid,3,3.0,medium,0,fixed,2025-11-17,2025-11-21,5.0,0,5.79,1.82,0.38,True,1,3,2.15,82.88,655.02,2930.2272945112363,-2275.2072945112363,user_114,2025-11-22,delivered,client_review,JIRA-51654,true,v3,SEO,ticket,0,0,0,4,0,0,0,0,2025-11,0,0,0,0,113.12953367875647,506.08416140090435,-2275.2072945112363,0.0,1,-3.473492862067168,1,0.3143350604490501,1,0.3713298791018998,1,506.08416140090435,1,113.12953367875647,-392.95462772214785,1,0.8,Low-Medium (20-40%),2
T00028,Client_D,P027,high,Content,article,junior,3,4.0,medium,0,value_based,2025-08-17,2025-08-24,2.0,1,4.21,2.68,0.44,True,4,0,0.0,63.44,1448.48,189.83,1258.65,user_089,2025-08-19,in_progress,client_review,JIRA-60183,false,v2,Content,article,0,0,0,7,0,0,0,0,2025-08,0,0,0,0,344.0570071258907,45.090261282660336,1258.65,0.0,1,0.86894537722302,1,0.6365795724465558,1,0.0,1,45.090261282660336,1,344.0570071258907,298.9667458432304,1,3.5,Medium-High (40-60%),3
T00029,Client_A,P054,low,SEO,ad,mid,2,2.0,medium,0,fixed,2025-12-16,2025-12-20,5.0,0,8.51,4.01,0.21,True,1,1,0.0,90.9,557.14,675.23,-118.09000000000005,user_050,2025-12-23,in_progress,briefing,JIRA-98839,true,v3,SEO,ad,0,0,0,4,0,0,0,0,2025-12,0,0,0,0,65.46886016451234,79.34547591069331,-118.09000000000003,-1.4210854715202004e-14,1,-0.21195749721793453,1,0.4712103407755582,1,0.0,1,79.34547591069331,1,65.46886016451234,-13.876615746180974,1,0.8,Low-Medium (20-40%),2
T00030,Client_B,P036,mid,Content,dev,junior,1,2.0,medium,0,fixed,2026-02-19,2026-02-26,10.0,0,16.82,12.94,0.43,True,0,1,1.02,53.62,983.45,618.27,365.18000000000006,user_011,2026-02-26,review,briefing,JIRA-49573,unknown,v1,Content,dev,0,0,0,7,0,0,0,0,2026-02,1,0,0,0,58.46908442330559,36.75802615933412,365.18000000000006,0.0,1,0.3713254359652245,1,0.7693222354340071,1,0.06064209274673008,1,36.75802615933412,1,58.46908442330559,21.711058263971466,1,0.7,Medium-High (40-60%),3
T00031,Client_G,P044,low,Design,release,mid,1,5.0,medium,0,fixed,2026-05-08,2026-05-10,2.0,0,11.48,6.58,0.38,True,4,2,1.2,60.32,734.72,573.31,161.41000000000008,user_031,2026-05-16,delivered,briefing,JIRA-73572,true,v1,Design,release,0,0,0,2,0,0,0,0,2026-05,1,0,0,0,64.0,49.93989547038327,161.41000000000008,0.0,1,0.21968913327526143,1,0.573170731707317,1,0.10452961672473866,1,49.93989547038327,1,64.0,14.06010452961673,1,1.0,Low-Medium (20-40%),2
T00032,Client_E,P063,low,Content,dev,junior,4,5.0,high,0,fixed,2025-12-05,2025-12-09,5.0,0,17.74,10.56,0.43,True,1,2,3.79,59.59,1689.93,610.97,1078.96,user_041,2025-12-11,draft,qa,JIRA-17164,true,v2,Content,dev,0,0,0,4,0,0,0,0,2025-12,0,0,0,0,95.26099210823,34.4402480270575,1078.96,0.0,1,0.6384643150899741,1,0.5952649379932357,1,0.21364148816234502,1,34.4402480270575,1,95.26099210823,60.8207440811725,1,0.8,Medium-High (40-60%),3
T00033,Client_F,P044,mid,Design,ticket,mid,4,1.0,high,0,hourly,2025-07-01,2025-07-04,5.0,0,15.29,11.81,0.53,True,6,1,0.0,63.14,1052.17,724.67,327.5000000000001,user_007,2025-07-09,in_progress,finalized,,unknown,v2,Design,ticket,0,0,0,3,0,0,0,0,2025-07,0,0,0,0,68.81425768476129,47.39502943100065,327.5000000000001,0.0,1,0.3112614881625594,1,0.7724002616088947,1,0.0,1,47.39502943100065,1,68.81425768476129,21.419228253760636,1,0.6,Medium-High (40-60%),3
T00034,Client_G,P029,high,SEO,article,junior,1,1.0,medium,0,fixed,2026-03-05,2026-03-13,10.0,0,16.25,10.53,0.25,True,2,2,1.92,65.47,639.41,754.57,-115.16000000000008,user_073,2026-03-12,in_progress,finalized,JIRA-68210,false,v4,SEO,article,0,0,0,8,0,0,0,0,2026-03,0,0,0,0,39.34830769230769,46.43507692307693,-115.16000000000008,0.0,1,-0.1801035329444333,1,0.6479999999999999,1,0.11815384615384615,1,46.43507692307693,1,39.34830769230769,-7.086769230769235,1,0.8,Low-Medium (20-40%),2
T00035,Client_C,P054,low,SEO ,article,junior,3,3.0,low,0,hourly,2026-01-16,2026-01-18,5.0,0,13.91,7.72,0.85,True,1,1,1.82,55.95,850.68,695.98,154.69999999999993,user_094,2026-01-24,in_progress,client_review,JIRA-72251,true,v4,SEO,article,0,0,0,2,0,0,0,0,2026-01,0,0,0,0,61.15600287562904,50.03450754852624,154.69999999999993,0.0,1,0.18185451638689043,1,0.5549964054636951,1,0.13084112149532712,1,50.03450754852624,1,61.15600287562904,11.1214953271028,1,0.4,Very High (80-100%),5
T00036,Client_G,P063,high,Media,design,mid,5,4.0,low,0,value_based,2025-12-24,2025-12-24,10.0,0,15.75,13.16,0.65,True,1,2,1.98,59.52,2118.27,1241.52,876.75,user_092,2025-12-24,in_progress,finalized,JIRA-89266,true,final,Media,design,0,0,0,0,0,0,0,0,2025-12,0,0,0,0,134.49333333333334,78.82666666666667,876.75,0.0,1,0.41389907802121545,1,0.8355555555555556,1,0.12571428571428572,1,78.82666666666667,1,134.49333333333334,55.66666666666667,1,0.0,High (60-80%),4
T00037,Client_F,P053,low,media,ad,junior,4,3.0,medium,0,hourly,2025-11-26,2025-11-29,3.0,0,18.48,14.39,0.0,False,4,2,0.99,61.54,1444.99,801.76,643.23,user_083,2025-12-01,in_progress,briefing,JIRA-66419,true,v3,Media,ad,0,0,0,3,0,0,0,0,2025-11,0,0,0,0,78.19209956709956,43.38528138528138,643.23,0.0,1,0.4451449490999938,1,0.7786796536796536,1,0.05357142857142857,1,43.38528138528138,1,78.19209956709956,34.80681818181818,1,1.0,Low (0-20%),1
T00038,Client_B,P022,mid,SEO,dev,senior,1,1.0,low,0,fixed,2026-05-02,2026-05-06,10.0,0,7.77,6.2,0.27,True,1,1,0.0,73.83,796.69,442.53,354.1600000000001,user_117,2026-05-05,in_progress,briefing,JIRA-33620,false,v1,SEO,dev,0,0,0,4,0,0,0,0,2026-05,0,0,0,0,102.53410553410555,56.95366795366795,354.1600000000001,0.0,1,0.4445392812762807,1,0.797940797940798,1,0.0,1,56.95366795366795,1,102.53410553410555,45.5804375804376,1,0.4,Low-Medium (20-40%),2
T00039,Client_E,P049,high,Content,report,junior,2,5.0,medium,0,fixed,2025-09-06,2025-09-12,5.0,1,14.69,8.24,0.45,True,3,1,1.55,91.6,1160.31,669.78,490.53,user_052,2025-09-08,blocked,client_review,JIRA-75141,true,v3,Content,report,0,0,0,6,0,0,0,0,2025-09,0,0,0,0,78.9863852961198,45.59428182437032,490.53,0.0,1,0.4227577113012902,1,0.560925799863853,1,0.1055139550714772,1,45.59428182437032,1,78.9863852961198,33.392103471749486,1,1.2,Medium-High (40-60%),3
T00040,Client_D,P031,mid,Paid Media,ad,mid,1,2.0,medium,0,value_based,2025-07-02,2025-07-04,3.0,0,4.0,3.95,0.37,True,4,1,2.32,70.305,833.92,279.05,554.8699999999999,user_033,2025-07-10,in_progress,execution,JIRA-64978,true,final,Media,ad,0,0,0,2,0,0,0,0,2025-07,0,0,0,1,208.48,69.7625,554.8699999999999,0.0,1,0.6653755755947812,1,0.9875,1,0.58,1,69.7625,1,208.48,138.71749999999997,1,0.6666666666666666,Low-Medium (20-40%),2
T00041,Client_A,P035,low,Design,report,mid,1,3.0,medium,0,hourly,2025-08-24,2025-08-27,2.0,1,5.25,3.2,0.66,True,3,0,0.9,92.44,296.37,226.24,70.13,user_110,2025-08-25,blocked,briefing,JIRA-53191,true,v1,Design,report,0,0,0,3,0,0,0,0,2025-08,0,0,0,0,56.45142857142857,43.093333333333334,70.13,0.0,1,0.23662988831528156,1,0.6095238095238096,1,0.17142857142857143,1,43.093333333333334,1,56.45142857142857,13.358095238095238,1,1.5,High (60-80%),4
T00042,Client_B,P009,high,Design,report,junior,2,3.0,high,0,hourly,2025-08-17,2025-08-19,7.0,0,13.05,10.57,0.5,True,4,2,2.24,49.78,869.59,659.3,210.29000000000008,user_039,2025-08-19,archived,briefing,JIRA-67759,false,v2,Design,report,0,0,0,2,0,0,0,0,2025-08,0,0,0,0,66.63524904214559,50.52107279693486,210.29000000000008,0.0,1,0.24182660794167374,1,0.8099616858237547,1,0.17164750957854408,1,50.52107279693486,1,66.63524904214559,16.11417624521073,1,0.2857142857142857,Medium-High (40-60%),3
T00043,Client_H,P014,mid,Media,release,junior,2,3.0,high,0,hourly,2026-01-11,2026-01-17,5.0,1,10.02,5.99,0.38,True,1,2,2.44,67.55,743.37,365.07,378.3,user_076,2026-01-13,archived,briefing,JIRA-68581,false,v4,Media,release,0,0,0,6,0,0,0,0,2026-01,0,0,0,0,74.18862275449102,36.43413173652695,378.3,0.0,1,0.5088986641914525,1,0.5978043912175649,1,0.2435129740518962,1,36.43413173652695,1,74.18862275449102,37.75449101796407,1,1.2,Low-Medium (20-40%),2
T00044,Client_H,P018,high,Design,ad_task,senior,2,3.0,medium,1,fixed,2026-01-07,2026-01-12,7.0,0,7.08,5.67,0.0,False,8,1,4.06,75.13,902.57,414.02,488.55000000000007,user_083,2026-01-14,review,finalized,,true,v1,Design,ad,0,0,0,5,0,0,0,0,2026-01,0,0,0,0,127.4816384180791,58.4774011299435,488.55000000000007,0.0,1,0.5412876563590636,1,0.8008474576271186,1,0.5734463276836158,1,58.4774011299435,1,127.4816384180791,69.0042372881356,1,0.7142857142857143,Low (0-20%),1
T00045,Client_C,P047,high,SEO,dev_task,mid,3,3.0,high,1,hourly,2026-01-23,2026-01-30,3.0,1,21.54,17.27,0.59,True,1,2,3.21,65.76,1670.62,979.65,690.9699999999999,user_045,2026-01-30,in_progress,execution,,true,v2,SEO,dev,0,0,0,7,0,0,0,0,2026-01,0,0,0,0,77.5589600742804,45.48050139275766,690.9699999999999,0.0,1,0.41360093857370317,1,0.8017641597028784,1,0.149025069637883,1,45.48050139275766,1,77.5589600742804,32.07845868152275,1,2.3333333333333335,Medium-High (40-60%),3
T00046,Client_E,P043,mid,Design,dev,mid,2,3.0,low,0,hourly,2026-01-24,2026-01-26,5.0,0,15.4,9.41,0.52,True,3,0,0.0,74.66,897.05,1032.87,-135.81999999999994,user_047,2026-02-02,in_progress,finalized,JIRA-38743,false,v1,Design,dev,1,0,0,2,0,0,0,0,2026-01,0,0,0,0,58.24999999999999,67.0694805194805,-135.81999999999994,0.0,1,-0.15140739089236938,1,0.611038961038961,1,0.0,1,67.0694805194805,1,58.24999999999999,-8.819480519480514,1,0.4,Medium-High (40-60%),3
